id,media_type,width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,saturation_proxy,colorfulness,edge_density,text_area_ratio,clip_dim,company_name,has_company_name,company_name_length,fps,duration_sec,frame_count,avg_motion,shot_changes,early_action_ratio,transcript,has_speech,word_count,sentence_count,avg_words_per_sentence,transcript_length,ad_keyword_count,ad_keyword_density,has_call_to_action
v0004,video,720,1280,0.5625,,,,,,,,,,,,512,,,,30.0,13.733333333333333,412.0,35.38296662004887,12.0,0.08725813620037702,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0005,video,720,900,0.8,,,,,,,,,,,,512,,,,23.976,15.015015015015015,360.0,55.07366927415922,19.0,0.42648947708798707,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0006,video,1080,1916,0.5636743215031316,,,,,,,,,,,,512,,,,30.0,11.133333333333333,334.0,58.58061596304028,11.0,0.2847400616749603,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0007,video,720,1280,0.5625,,,,,,,,,,,,512,,,,30.0,12.033333333333333,361.0,40.28424931278935,8.0,0.225036738140951,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0008,video,720,720,1.0,,,,,,,,,,,,512,,,,23.976023976023978,13.471791666666666,323.0,35.98156531932573,5.0,0.2310738985201005,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0009,video,1280,720,1.7777777777777777,,,,,,,,,,,,512,,,,23.976023976023978,15.014999999999999,360.0,24.586148078304593,3.0,0.6055924785576786,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0010,video,720,1280,0.5625,,,,,,,,,,,,512,,,,24.0,15.0,360.0,19.021193052562264,6.0,0.09930729603132529,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0011,video,1920,1080,1.7777777777777777,,,,,,,,,,,,512,,,,23.976023976023978,15.014999999999999,360.0,33.4258435105364,8.0,0.18897635632637017,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0012,video,1080,1920,0.5625,,,,,,,,,,,,512,,,,30.0,11.933333333333334,358.0,24.939844861278853,0.0,0.8622190593912143,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0013,video,720,480,1.5,,,,,,,,,,,,512,,,,30.00402738622634,14.898,447.0,34.53428470226692,2.0,0.18635098615137038,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
